"Timestamp","If your Amazon Mechanical Turk Worker ID does not appear below, please fill it in.","The name of the college/university you were given for this HIT appears below.","In normal (non-pandemic) times, most colleges/universities had a usual grading method, that is, a grading method that automatically applied to most students. We will refer to this as the ""usual pre-pandemic"" grading method. At the college/university you were assigned, what was the usual pre-pandemic grading method? (If you can't find it this information, it may be helpful to look at the website of the registrar of the college/university.)","You just answered a question about the usual pre-pandemic grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Were students at the college/university you were assigned given more choice than usual for how to be graded for the spring academic term, where this choice was specifically offered because of the unusual circumstances of the COVID pandemic?","You just answered that students were given more choice than usual due to the COVID pandemic. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","You just answered that despite the COVID pandemic, students were not given more choice than usual. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","We are interested in knowing how a student would be graded if they took no action, that is, if they did not actively indicate a choice. We refer to this as the ""pandemic default"" grading method. Was the pandemic default grading method different from or the same as the usual pre-pandemic method that you indicated earlier?","You just answered that the pandemic default grading method was different from the usual pre-pandemic method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","You just answered that the pandemic default grading method was the same as the usual pre-pandemic method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Please choose the option below that best describes the pandemic default grading method.","You just answered a question about the pandemic default grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Now we would like to know the alternative choice to the pandemic default method. That is, we would like to know what grading method students could choose to opt in to if they decided they did not want the pandemic default method. We refer to this non-default choice as the ""pandemic opt-in"" grading method. Please choose the option below that best describes the pandemic opt-in grading method.","You just answered a question about the pandemic opt-in grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Could students apply the pandemic default and pandemic opt-in grading methods on a per-course basis, that is, could they apply different grading methods to different courses? An example of applying different grading methods to different courses would be, say, that the student could apply the pandemic default grading method to Physics 201 and the pandemic opt-in grading method to History 311. So, could students apply the pandemic default and pandemic opt-in grading methods on a per-course basis?","You just answered a question about whether the pandemic default and pandemic opt-in grading methods could be applied on a per-course basis. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","If students wanted to choose the pandemic opt-in grading method for any course, when were they required to indicate this choice?","You just answered a question about the deadline for a student choosing the pandemic opt-in grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Given that students did not have more choice than usual in how to be graded during the spring 2020 term, we want to know the how the college/university chose to grade students during the spring semester. We refer to this as the ""pandemic"" grading method. Was the pandemic grading method different from or the same as the usual pre-pandemic method that you indicated earlier?","You just answered that the pandemic grading method was the same as the usual pre-pandemic grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","You just answered that the pandemic grading method was different from the usual pre-pandemic grading method. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Please choose the option below that best describes the pandemic grading method.","You just answered a question about what the pandemic grading method was. How confident are you in your answer? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident","Which of the following is the most accurate description of the pandemic grading method?","You just answered a question about the amount of instructor choice in the pandemic grading method. How confident are you in your response? 1 = Not very confident, 2 = Somewhat confident, 3 = Confident, and 4 = Extremely Confident"
"2020/08/22 5:17:45 PM AST","A39O3O4F2CUIKA","Salem State University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was different from the usual pre-pandemic method","3","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","After they saw what their grade would be using the pandemic default method","3","","","","","","",""
"2020/08/22 5:18:15 PM AST","ACKG8OU1KHKO2","Moravian College","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","Cannot determine","","","Cannot determine","1","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","Cannot determine","2","Cannot determine","2","","","","","","",""
"2020/08/22 5:18:23 PM AST","APKTDTD9LK539","Yeshiva University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:18:24 PM AST","AD3V6XGQWRD6E","St. Joseph's College-Long Island","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:18:43 PM AST","A3EC3OP6U52JYC","Birmingham-Southern College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:19:08 PM AST","A18T7E73TNGOKP","Marian University","Cannot determine","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","Cannot determine","","","Cannot determine","4","Cannot determine","4"
"2020/08/22 5:19:49 PM AST","ACVJ6IUO9QM4R","Iona College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:19:50 PM AST","A18T7E73TNGOKP","Rutgers University-New Brunswick","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:20:11 PM AST","A1Y3W8KKAU1S0J","Centenary College of Louisiana","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Cannot determine","2","","","","","","",""
"2020/08/22 5:20:54 PM AST","A3HBAOL8IDCDBN","Wilkes University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was the same as the usual pre-pandemic method","","3","","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","No: the student was required to make a single choice (pandemic default or pandemic opt-in) which was applied to all courses","3","Before they saw what their grade would be under the pandemic default method","3","","","","","","",""
"2020/08/22 5:21:03 PM AST","A18T7E73TNGOKP","North Carolina State University at Raleigh","Cannot determine","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:21:06 PM AST","ARYL3C6N9SVV1","Centenary College of Louisiana","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","For Spring 2020, students will have two weeks after grades are published to submit a petition to change a class from standard letter grade (A,B,C,D,F) to Pass/D/Fail.","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:21:42 PM AST","A3AOWAGEDOVKBI","Loyola University New Orleans ","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Cannot determine","4","Cannot determine","4","","","","","","",""
"2020/08/22 5:22:05 PM AST","A39O3O4F2CUIKA","Waynesburg University","Cannot determine","3","Yes, students were given more choice than usual due to the COVID pandemic","2","","Cannot determine","","","Cannot determine","2","Cannot determine","2","Cannot determine","2","Cannot determine","2","","","","","","",""
"2020/08/22 5:23:01 PM AST","A2YTQDLACTLIBA","Roberts Wesleyan College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:23:10 PM AST","A18T7E73TNGOKP","Roger Williams University","Cannot determine","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:23:19 PM AST","A39O3O4F2CUIKA","Rutgers University-New Brunswick","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was different from the usual pre-pandemic method","3","","Cannot determine","3","Cannot determine","3","Cannot determine","3","Cannot determine","3","","","","","","",""
"2020/08/22 5:23:38 PM AST","AURYD2FH3FUOQ","Tufts University","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","The student doesn't have a choice","4","no choice","4","","","","","","",""
"2020/08/22 5:24:04 PM AST","A39O3O4F2CUIKA","University of Central Oklahoma","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","3","","Cannot determine","","","Cannot determine","3","Cannot determine","3","Cannot determine","4","Cannot determine","4","","","","","","",""
"2020/08/22 5:24:19 PM AST","A2470VL9L4QFFS","St. Joseph's College-Long Island","Cannot determine","1","Yes, students were given more choice than usual due to the COVID pandemic","2","","The pandemic default method was different from the usual pre-pandemic method","3","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","2","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","2","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","2","Before they saw what their grade would be under the pandemic default method","2","","","","","","",""
"2020/08/22 5:24:32 PM AST","A397D1I20OGUK7","Iona College","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","2","No, despite the COVID pandemic, students were not given more choice than usual","","2","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","2","","","","",""
"2020/08/22 5:24:51 PM AST","ACD400BAWY7QC","Iona College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was the same as the usual pre-pandemic method","","3","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","3","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:24:59 PM AST","A39O3O4F2CUIKA","Roger Williams University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","3","","Cannot determine","","","Cannot determine","3","Cannot determine","4","Cannot determine","4","Cannot determine","3","","","","","","",""
"2020/08/22 5:26:27 PM AST","A39O3O4F2CUIKA","Colgate University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","Cannot determine","","","Cannot determine","3","Cannot determine","3","Cannot determine","3","Cannot determine","3","","","","","","",""
"2020/08/22 5:27:06 PM AST","A3J6FPWX0V3SIN","Bethel University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:28:14 PM AST","A39O3O4F2CUIKA","Portland State University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Cannot determine","4","Cannot determine","4","Cannot determine","4","Cannot determine","4","","","","","","",""
"2020/08/22 5:28:15 PM AST","A1MHQQGREWFKLV","Thiel College","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","2","Yes, students were given more choice than usual due to the COVID pandemic","1","","Cannot determine","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","1","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","1","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","1","Cannot determine","1","","","","","","",""
"2020/08/22 5:28:31 PM AST","A304JIFALQNMEQ","California State University-Dominguez Hills","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Letter grades with the inclusion of a Late Withdrawal (W) and No Credit (NC)","4","Late Withdrawal (W) and No Credit (NC)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","After they saw what their grade would be using the pandemic default method","3","","","","","","",""
"2020/08/22 5:28:43 PM AST","A3SKEW89V5S0DI","Kent State University at Kent","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was the same as the usual pre-pandemic method","","2","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","Either before or after the choice can be made","4","","","","","","",""
"2020/08/22 5:29:29 PM AST","A2IP0EIWXDWAMJ","Wilkes University","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Students can choose flexibly at any time.","3","","","","","","",""
"2020/08/22 5:29:31 PM AST","AKSJ3C5O3V9RB","College of Our Lady of the Elms","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Partially: Some courses allowed students to make a choice between the pandemic default method and the pandemic opt-in method, while for other courses, the instructor or institution chose the grading method","4","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:29:34 PM AST","AURYD2FH3FUOQ","East Texas Baptist University","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:29:36 PM AST","A3DCRZTX0HIHBJ","Rutgers University-Newark","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","3","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","3","After they saw what their grade would be using the pandemic default method","3","","","","","","",""
"2020/08/22 5:30:06 PM AST","A3CN7T0IYDE3NJ","Worcester State University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Cannot determine","4","","","","","","",""
"2020/08/22 5:30:11 PM AST","A2OPYRV3GLAPS1","DeSales University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:30:29 PM AST","AYVNBNVR4NO6T","Williams College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","Cannot determine","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","3","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","2","No: the student was required to make a single choice (pandemic default or pandemic opt-in) which was applied to all courses","3","Cannot determine","2","","","","","","",""
"2020/08/22 5:30:30 PM AST","A18T7E73TNGOKP","Morehouse College","Cannot determine","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:30:32 PM AST","A39O3O4F2CUIKA","Iona College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Partially: Some courses allowed students to make a choice between the pandemic default method and the pandemic opt-in method, while for other courses, the instructor or institution chose the grading method","4","Cannot determine","4","","","","","","",""
"2020/08/22 5:31:11 PM AST","A2ZBJWQ9ZZHYYI","Virginia Commonwealth University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","3","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:31:25 PM AST","A8KDSIY4KBYR4","University of North Alabama","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:31:25 PM AST","A18T7E73TNGOKP","Yeshiva University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:32:24 PM AST","A3G8OON0TDPN1E","Marian University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was different from the usual pre-pandemic grading method","","3","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Each course instructor could choose if the pandemic grading method would apply to their course","4"
"2020/08/22 5:32:40 PM AST","A18T7E73TNGOKP","Biola University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:32:44 PM AST","AVASQBFN6J692","Williams College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Cannot determine","4","No: the student was required to make a single choice (pandemic default or pandemic opt-in) which was applied to all courses","4","Cannot determine","4","","","","","","",""
"2020/08/22 5:33:02 PM AST","A3AOWAGEDOVKBI","Illinois College","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:33:06 PM AST","A2YTQDLACTLIBA","University of Illinois at Chicago","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:33:12 PM AST","A39O3O4F2CUIKA","University of Illinois at Chicago","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:33:15 PM AST","A18T7E73TNGOKP","Loyola University New Orleans","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:33:24 PM AST","A2VK51X6O3GJYM","Portland State University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was different from the usual pre-pandemic grading method","","3","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","3","Each course instructor could choose if the pandemic grading method would apply to their course","3"
"2020/08/22 5:33:41 PM AST","A18T7E73TNGOKP","Whitworth University-Adult Degree Programs","Cannot determine","4","No, despite the COVID pandemic, students were not given more choice than usual","","3","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","3","","","","",""
"2020/08/22 5:34:16 PM AST","AD3V6XGQWRD6E","Worcester State University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was different from the usual pre-pandemic method","4","","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:35:32 PM AST","A39O3O4F2CUIKA","University of North Alabama","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","Cannot determine","","","Cannot determine","3","Cannot determine","3","Cannot determine","3","Cannot determine","3","","","","","","",""
"2020/08/22 5:35:37 PM AST","A18T7E73TNGOKP","Coker University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:36:01 PM AST","AEOVYZ83Q3GX4","California State University-Dominguez Hills","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
"2020/08/22 5:37:07 PM AST","A2W121DQXNQK1","Wittenberg University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","The students could only change up to two of their Spring Semester 2020 courses to Pass/Fail within a given time period.","4","Between April 13th to April 24th, students could change up to two of their Spring Semester 2020 courses to Pass/Fail. This choice could not be reversed.","4","","","","","","",""
"2020/08/22 5:37:17 PM AST","A18T7E73TNGOKP","Dordt University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","No, despite the COVID pandemic, students were not given more choice than usual","","4","","","","","","","","","","","","The pandemic grading method was the same as the usual pre-pandemic grading method","4","","","","",""
"2020/08/22 5:37:32 PM AST","AURYD2FH3FUOQ","University of Alaska Anchorage","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Before they saw what their grade would be under the pandemic default method","4","","","","","","",""
"2020/08/22 5:37:48 PM AST","A3RYH6OUH7BJ4Z","Susquehanna University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/NoCredit or High Pass/Pass/No Credit (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","Before they saw what their grade would be under the pandemic default method","3","","","","","","",""
"2020/08/22 5:38:11 PM AST","AKSJ3C5O3V9RB","East Carolina University","Letter grades (typically, A/B/C/D/F, or a close variation thereof)","4","Yes, students were given more choice than usual due to the COVID pandemic","4","","The pandemic default method was the same as the usual pre-pandemic method","","4","","","Pass/Fail or High Pass/Pass/Fail or Satisfactory/Unsatisfactory (or a close variation thereof)","4","Yes: the student could choose between the pandemic default method and pandemic opt-in method for each of their courses, independently","4","After they saw what their grade would be using the pandemic default method","4","","","","","","",""
